AO,Final Keywords,LDA,VEC,cycle_2_keywords ,
2006_AO008,Delivery of health services  family planning for women of reproductive age  maternal mortality rate  pregnancy  childbearing  contraceptive  immunization  premature death  POPCOM  DOLE  DND  MDG  PHIC  ARMM   syphilis stillbirth mammography perinatal midwife midwifery reprodutive health  safe motherhood,provider woman care service provider family facility system implementation doh government program policy development health facility management delivery information level need patient,WLWHIV ENNM facility-based antenatal child-health preconception family-planning midwifery-based maternal/newborn intra-partum,Delivery of health services  family planning for women of reproductive age  maternal mortality rate  pregnancy  childbearing  contraceptive  immunization  premature death  POPCOM  DOLE  DND  MDG  PHIC  ARMM   syphilis stillbirth mammography perinatal midwife midwifery reprodutive health  safe motherhood intra-partum woman WLWHIV ENNM antenatal ,
1996_AO021A,Maternal care delivery component  obstetrics  gynecology  lying-in  clinics   gynaecology neonatology obstetric obstetrical pediatrics paediatrics OBGYN birth birthingmaternal care service,woman malaria visit care risk center worker blood area system community case intervention delivery child book time opportunity program prevention,maternity OB/GYN nephrology dermatology perinatology anaesthesiology gastroenterology ophthalmology subspecialty rheumatology,Maternal care delivery component  obstetrics  gynecology  lying-in  clinics   gynaecology neonatology obstetric obstetrical pediatrics paediatrics OBGYN birth birthingmaternal care service nephrology dermatology perinatology anaesthesiology gastroenterology ophthalmology subspecialty rheumatology malaria ,
2002_AO071,Polio  polio-free  immunization  maintenance  hospital  poliomyelitis  knock-out polio  acute flaccid paralysis  polio virus  batik patak kontra polio   measles smallpox rabies vaccination vaccine immunize varicella poliovirus  polio eradication,laboratory fund project doh government management implementation program development unit policy case facility activity center area drug system plan report,Measles immunisation live-attenuated Dultavax vaccine-strain killed-virus further-attenuated whole-inactivated influenza H1N1p,Polio  polio-free  immunization  maintenance  hospital  poliomyelitis  knock-out polio  acute flaccid paralysis  polio virus  batik patak kontra polio   measles smallpox rabies vaccination vaccine immunize varicella poliovirus  polio eradication strain h1n1p influenza,
1978_AO340,Immunization  national tuberculosis program  bcg  nurses  nurses of the Philippine tuberculosis society  expanded programs in immunization (EPI)   HIV AIDS ART TB PMTCT drug vaccine   vaccination,medicine drug price access time government implementation use regulation policy trade industry council practice product interest state sector member doh,HIV/AIDS TB/HIV immunisation M/XDR-TB contact-tracing programme TB-HIV pMTCT iCCM PLWH,Immunization  national tuberculosis program  bcg  nurses  nurses of the Philippine tuberculosis society  expanded programs in immunization (EPI)   HIV AIDS ART TB PMTCT drug vaccine   vaccination TB/HIV contact-tracing ,
1992_AO005,Loperamide hydrochloride liquid  adverse CNS  BFAD  meclizine antinauseant promethazine azasetron dezocine chlophedianolpotential risk  antimicrobial resistance,woman malaria visit care risk center worker blood area system community case intervention delivery child book time opportunity program prevention,loperamide trimethobenzamide cyclizine Promethazine prochlorperazine meclozine cloperastine hydroxyzine metoclopromide tramadol,Loperamide hydrochloride liquid  adverse CNS  BFAD  meclizine antinauseant promethazine azasetron dezocine chlophedianolpotential risk  antimicrobial resistance ,
2003_AO119,Micronutrient supplmentation  deficiency  malnutrition  food fortification  iodination  VADD  RDA  iron  anemia  supplement  iodine  multiple micronutrients  lactating women  UNICEF  CPC  vitamin a day  garantisadong pambata fortificant nutriture nutrition dietary supplement,support emergency hour cluster nutrition facility disaster health service development child management policy standard program assistance disease government bureau promotion agency,micronutrient supplementation supplements supplementations fortificants B-vitamin folacin multivitamin-multimineral micro-nutrient home-fortified,Micronutrient supplmentation  deficiency  malnutrition  food fortification  iodination  VADD  RDA  iron  anemia  supplement  iodine  multiple micronutrients  lactating women  UNICEF  CPC  vitamin a day  garantisadong pambata fortificant nutriture nutrition dietary supplement multi-mineral home-fortified fortifified ,
1978_AO342,Tetracyclines  pigmentation  young  infants  pregnancy  rarefaction  intracranial  pressure  pediatric  neonates fetus eclampsia obstetric hypernatraemia hypodipsia,health worker fund worker doctor government physician time person government hospital part case distribution policy act member payment manner patient rate republic act,newborns neonate intraventricular/subependymal prematurity-related polyhydramnios dysmaturity Hyperbilirubinaemia Hypernatraemia pre-eclampsia/eclampsia oligohydramnios,Tetracyclines  pigmentation  young  infants  pregnancy  rarefaction  intracranial  pressure  pediatric  neonates fetus eclampsia obstetric hypernatraemia hypodipsia dysmaturity prematurity-related,
1995_AO006,Integrated family planning and maternal health project  integrated family planning  maternal health   newborn child women woman responsible parenthood  contraceptive supply  core package  informed choice  prenatal care  birthing center  newborn care  reprodutive health,provider woman care service provider family facility system implementation doh government program policy development health facility management delivery information level need patient,ETS-prevention maternal/newborn services women-centred child-health service provision provider preconception maternal-child,Integrated family planning and maternal health project  integrated family planning  maternal health   newborn child women woman responsible parenthood  contraceptive supply  core package  informed choice  prenatal care  birthing center  newborn care  reproductive health ETS-prevention preconception women-centered,
1976_AO275,Midwife obstetrical nursery newborn  midwifery pre-natal  nursing birthing maternity obstetric antenatal intranatal maternal midwifery nurse child health   youth health   city health center,fund activity implementation expense program development doh child training rule food team center government utilization level regulation partner patient unit,child-health maternal-child child-care care midwife ETS-prevention well-baby childcare ante-natal rooming-in,Midwife obstetrical nursery newborn  midwifery pre-natal  nursing birthing maternity obstetric antenatal intranatal maternal midwifery nurse child health   youth health   city health center ETS-prevention childcare rooming-in,
1997_AO020,Funds  liquidation  disbursement  WHSMP  loan  expenditure   laboratory blood subsidy medicine plan debt fund loan bankcontinuing quality improvement  doh general appropriations act  funded project,laboratory fund project doh government management implementation program development unit policy case facility activity center area drug system plan report,funds funding outlays financing budget payments investments investment underwriting budgets,Funds  liquidation  disbursement  WHSMP  loan  expenditure   laboratory blood subsidy medicine plan debt fund loan bankcontinuing quality improvement  doh general appropriations act  funded project,
2003_AO095,Acute flaccid paralysis  neonatal tetanus  paralysis  RITM  measles   polio poliomyelitis chicken-pox chicken pox poliovirus,health worker fund worker doctor government physician time person government hospital part case distribution policy act member payment manner patient rate republic act,varicella pharyngo-conjunctival chickenpox Measles morbilli mumps rabies whooping-cough rubeola virus(VZV),Acute flaccid paralysis  neonatal tetanus  paralysis  RITM  measles   polio poliomyelitis chicken-pox chicken pox poliovirus,rest
1984_AO100,leave married woman  safe motherhood,woman malaria visit care risk center worker blood area system community case intervention delivery child book time opportunity program prevention,unmarried marry housewife desiring unwed Rybys baby CS/TO marriage child,leave married woman  safe motherhood unwed unmarried,
1997_AO001B,Women  children  protection  women's desk  hospital based  women crisis center  violence  multidisciplinary  multilevel  training program  call to action against domestic violence  women and children protection unit  gender sensitive health care  victims  survivor  rape  incest  torture  sex trafficking  abusive  exploitative  sensitive  collaboration  psychological  therapeutic  holistic  social worker psychiatrist  workplace post-suicide youth health  disadvantaged sector  mental health,person program policy implementation health service family care disease doh level emergency support patient promotion hour government population activity community life,MSM-T TB-IPC mental-health staff-oriented culturally-informed women-centred ETS-prevention care-giving clients delayed/forgone,Women  children  protection  women's desk  hospital based  women crisis center  violence  multidisciplinary  multilevel  training program  call to action against domestic violence  women and children protection unit  gender sensitive health care  victims  survivor  rape  incest  torture  sex trafficking  abusive  exploitative  sensitive  collaboration  psychological  therapeutic  holistic  social worker psychiatrist  workplace post-suicide youth health  disadvantaged sector  mental health ETS-prevention care-giving,
1998_AO010,Obstetrical emergency care  prenatal  postnatal  safe deliveries  waiting homes  maternal deaths  cesarean  OB  facility  unit  family planning  antenatal  lying-in   obstetric NICU birthing birth midwife baby safe motherhood  reproductive health,provider woman care service provider family facility system implementation doh government program policy development health facility management delivery information level need patient,maternity obstetrical midwife-led rooming-in intranatal childbirth well-baby midwifery-based labor/delivery postabortion,Obstetrical emergency care  prenatal  postnatal  safe deliveries  waiting homes  maternal deaths  cesarean  OB  facility  unit  family planning  antenatal  lying-in   obstetric NICU birthing birth midwife baby safe motherhood  reproductive health post-abortion intranatal rooming-in midwifery delivery ,
2005_AO005,Newborn screening  maximum allowable service fees  ACNBS  NSC reimbursement precertificationprenatal care,screening fee doh facility medicine program price clinic center health facility government development department health drug item personnel rule patient request food,services healthcare health-care reimbursing precertification swing-bed publicly-funded preauthorization reimbursable unreimbursed,Newborn screening  maximum allowable service fees  ACNBS  NSC reimbursement precertificationprenatal care reimbursable unreimbursed preauthorization ,
2003_AO039,Expanded program on immunization  vaccine preventable diseases  children  women  fully immunized child  polio  measles  tetanus  TB  infants  neonatal  national immunization days  injection  OPV  DPT  TT  vials  cold chain management  early childhood care development card (ECCD)  growth monitoring card (GMC)  baby book  surveillance  center for health development   neonates vaccination vaccine outbreak young,support emergency hour cluster nutrition facility disaster health service development child management policy standard program assistance disease government bureau promotion agency,immunisation vaccinations immunisations immunizations outbreak-response DTPP3 tracing/ring SYSVAK revaccination OPV-0,Expanded program on immunization  vaccine preventable diseases  children  women  fully immunized child  polio  measles  tetanus  TB  infants  neonatal  national immunization days  injection  OPV  DPT  TT  vials  cold chain management  early childhood care development card (ECCD)  growth monitoring card (GMC)  baby book  surveillance  center for health development   neonates vaccination vaccine outbreak young ,
1997_AO017,Combined diphtheria  whole cell pertussis  tetanus  hepatitis  tritanrix hb10  children  6 weeks  maternal and child health services (MCHS)  vaccine  whitish  intramuscular  doses  immunization vaccination vaccine drug,drug medicine use cost application government program list committee doh evaluation product secretary request facility review analysis method disease procurement,vaccinations immunisation immunisations immunizations DTaP3-CB vaccines OPV-0 revaccination HibCV two-dose,Combined diphtheria  whole cell pertussis  tetanus  hepatitis  tritanrix hb10  children  6 weeks  maternal and child health services (MCHS)  vaccine  whitish  intramuscular  doses  immunization vaccination vaccine drug,
1997_AO003,Grant-in-aid  KFW (Germany)  Germany  barangay health stations  rural health units  midwives   state-funded blood-bank government organization  lgu,control program prevention control prevention doh disease plan implementation development government level activity fund policy person unit facility center system sector,State-funded government-funded blood-banks Public-sector government-based government-run government-financed SONEB state/local AMoH,Grant-in-aid  KFW (Germany)  Germany  barangay health stations  rural health units  midwives   state-funded blood-bank government organization  lgu,
2005_AO014,National policies on infant and young feeding  feeding  NDHS  FNRI  infants  breastfeeding  global strategy for infant and young child feeding  UNICEF  food fortification  micronutrient  supplementation  support system  rooming in and breastfeeding act  mothers   maternal breastmilk infant nutrition ARTimmune responce  unprocessed food  infant formula,support emergency hour cluster nutrition facility disaster health service development child management policy standard program assistance disease government bureau promotion agency,SBIF breast-feeding caloric/fat formula/cows bottle-feeding nutritional ENNM foetal/infant fetus/neonate dietary,National policies on infant and young feeding  feeding  NDHS  FNRI  infants  breastfeeding  global strategy for infant and young child feeding  UNICEF  food fortification  micronutrient  supplementation  support system  rooming in and breastfeeding act  mothers   maternal breastmilk infant nutrition ARTimmune responce  unprocessed food  infant formula fetal fetus neonate,
2004_AO178,Tubercolosis  children  mother  father  infection  smear  anti TB  cough  fever   smear mycobacteremia fever sputum isosporiasis bacteriatreatment site,treatment facility case care laboratory patient drug system health facility implementation test policy program center child visit support quality management infection,mycobacteraemia bacteriologically-confirmed clinically-suspected sputum-smear-negative Culture-confirmed culture-confirmed blastocystosis culture-proved culture-verified sputum-positive,Tubercolosis  children  mother  father  infection  smear  anti TB  cough  fever   smear mycobacteremia fever sputum isosporiasis bacteria treatment site culture ,
1997_AO008A,Women's Health and Safe Motherhood Project,health worker fund worker doctor government physician time person government hospital part case distribution policy act member payment manner patient rate republic act,Program Partnership Initiatives Programme Agenda Health/Family Workforce Environment E-Health Policy,Women's Health and Safe Motherhood Project partnership e-health ,
2000_AO003A,vitamin a iron supplement nutrition anemia deficiency micronutrient iodine,support emergency hour cluster nutrition facility disaster health service development child management policy standard program assistance disease government bureau promotion agency,supplementation micronutrients folate selenium nutriture folacin B-vitamin vitamin-A supplements B12,vitamin a iron supplement nutrition anemia deficiency micronutrient iodine folate selenium supplementation b12 b-vitamin ,
2016_AO0035,antenatal care ANC periodbreaks stillbirths neonatal deaths pregnancy IPTp birthing center maternal health postnatal obstetric immunization mother-to-child PICT,woman malaria visit care risk center worker blood area system community case intervention delivery child book time opportunity program prevention,intra-partum perinatal intrapartum ante-natal facility-based intranatal maternity postabortion post-abortion preconception,antenatal care ANC periodbreaks stillbirths neonatal deaths pregnancy IPTp birthing center maternal health postnatal obstetric immunization mother-to-child PICT intrapartum intranatal preconception ,
2009_AO025,newborn essential care guideline guidelines evidence-based neonatal breastfeeding breastfeed clamping baby birth delivery,provider woman care service provider family facility system implementation doh government program policy development health facility management delivery information level need patient,intrapartum intranatal rooming-in intrapartal intra-partum infant midwifery-based antenatal breast-feeding preconception,newborn essential care guideline guidelines evidence-based neonatal breastfeeding breastfeed clamping baby birth delivery rooming-in intrapartum intranatal midwifery preconception ,
2005_AO020,polio baby child infant high-risk region armm poliovirus eradication immunization immunize vaccine vaccination children,drug child day section treatment policy doh month year employee development facility report case product patient dose regulation standard health facility,immunisation vaccinations measles immunisations immunizations vaccinating revaccination DT5aP-Hib-IPV vaccines vaccinated,polio baby child infant high-risk region armm poliovirus eradication immunization immunize vaccine vaccination children drug ,
2014_AO0045,Expanded Newborn Screening Comprehensive NCDPC centers continuity clinic ambulatory NSC NSRC NBS,facility health facility care doh referral clinic case system patient provider bureau emergency management government service provider health care personnel treatment program delivery,NHSBCSP Outpatient Referral ABC-MedHome Telemedical AOAMHS Pediatric Project/Kids Al-Asyah HIV/AIDS/ART,Expanded Newborn Screening Comprehensive NCDPC centers continuity clinic ambulatory NSC NSRC NBS HIV/AIDS/ART Pediatric,
1995_AO015,tetanus toxoid schedule neonatal risk abortion immunization vaccine reinstitution,woman malaria visit care risk center worker blood area system community case intervention delivery child book time opportunity program prevention,immunisation vaccination immunizations immunisations vaccinations reimmunization DTaP3-CB revaccination toxoid-containing tetanus-diphtheria,tetanus toxoid schedule neonatal risk abortion immunization vaccine reinstitution toxoid-containing tetanus-diphtheria,
1992_AO076A,guideline guidelines roomin-in breastfeeding breast milk breastmilk mother safe motherhood baby infant delivery birth,provider woman care service provider family facility system implementation doh government program policy development health facility management delivery information level need patient,breast-feeding bottle-feeding child mothers VPTD babies maternal formula-feeding fetus/neonate childbirth,guideline guidelines roomin-in breastfeeding breast milk breastmilk mother safe motherhood baby infant delivery birth fetus/neonate babies ,
2011_AO0016,guideline guidlelines polio poliovirus immunize immunization vaccine vaccination surveillance outbreak child children,support emergency hour cluster nutrition facility disaster health service development child management policy standard program assistance disease government bureau promotion agency,immunisation vaccinations measles immunizations revaccination immunisations vaccines re-vaccination H1N1p AS03B-adjuvanted,guideline guidlelines polio poliovirus immunize immunization vaccine vaccination surveillance outbreak child children measles re-vaccination ,
2006_AO015,infants hepatitis B chronic liver disease immunization vaccine vaccination EPI perinatal transmission newborns clinic hospital health facilities centers barangay stations,control program prevention control prevention doh disease plan implementation development government level activity fund policy person unit facility center system sector,immunisations immunisation vaccinations clinics HCW facility-based immunizations antenatal HCWs neonates/young,infants hepatitis B chronic liver disease immunization vaccine vaccination EPI perinatal transmission newborns clinic hospital health facilities centers barangay stations neonates/young antenatal HCW,
