AO,cycle_2_keywords
2011_AO0018,Cheaper medicines  free medicines  cancer  mortality  catastrophic disease  quality of life  health  productivity  treatment  women  breast cancer insurance-covered mortality drug development disability unit morbidity-related comorbidity-related
2012_AO0029,ncd  ncd intervention  Strengthening the Prevention and Control of Chronic Lifestyle Related Non Communicable Diseases  chronic lifestyle  non-communicable diseases  morbidity  mortality  disability rates  chronic  lifestyle-related  interventions  chronic care  cardiovascular disease  cancer  diabetes  treatment  chronic respiratory disease  diabetes mellitus  smoking  hypertension  stroke  heart attack  kidney disease  blood pressure  ncd risk assessment  drinks  CVDs risk-factors life-style-related CVD chronic-degenerative diseases cardiocerebrovascular disability unit control cncds diseases(CVD) cardio-cerebrovascular diseases cerebro-cardiovascular (CVD)
2016_AO0014,hypertension  diabetes  health clubs  ncds  non-communicable diseases  deaths  causes of deaths  adult population  interventions  health interventions  risk factors  lifestyle  chronic  chronic lifestyle  Hypertension-Diabetes Health Clubs  blood pressure  smoking  diet changes lifestyle-related risk-factors co-morbidities risk-factor life-style-related diet-related life-style obesity hypertension diabetes health c  target organ damage  diabetic patient cncds obesity cvds cvrf cvds cardio-metabolic nutrition-related obesity-related chronic-degenerative comorbidities
2010_AO004,Expanded Senior Citizens Act of 2003  senior citizens  health of senior citizens unbranded generic medicines  generic menu card
2017_AO0001,Standards of Care for Older Persons  senior citizen  Senior citizens’ ward  geriatric Ward  Filipino Older Persons  Comprehensive Geriatric Assessment (CGA)  adult daycare  Decisional Capacity  older person  gerontology  Geriatric Medicine  Frailty  frail  age associated decline  Geriatric Care  American Geriatric Society  Association of Directors of Geriatric Academic Programs  geriatricians  Home Health Care Service  Long Term Care  Long Term Care Facilities  nursing homes  Rehabilitation facilities  Sub—acute Care nursing facility facility program
2007_AO004,mental health  mental health program  disability  neurological  substance use  disorders  years lived with disability  ylds  global burden of disease  disability-adjusted life years  dalys  depression  suicide  schizophrenia  epilepsy  alcohol  drug abuse  adult population  prevalence  mental disorders  elderly group  mental disability  sadness  confusion  forgetfulness  delusions  no control over the use of cigarettes and alcohol  phobias  Comprehensive Dangerous Drug Act  drug abuse  health promotion  psychosocial care  psychosocial medicine blood psychologicalpsychiatric co-morbidity psychiatric suicidality psychiatricpsychological psychological psychopathology psychologicalmental comorbidity illness adverse drug event psychologicalpsychiatric psychiatricpsychological psychopathologies substance-use illnesses comorbid co-morbid
1995_AO016A,20-65 years old diabetes prevalence chronic chronic disabling disorder wellness Non-Communicable Disease Control non-communicable disease quality of life diabetics Diabetes Prevention and Control Program morbidity mortality education early diagnosis management nutrition exercise anti-smoking lifestyle-related diseases chronic-disease adulthood cancer center respiratory infection community life cncds life-style-related adulthood chronic-degenrative inactivity-related ncds risk-factors co-morbidity
2009_AO023,drug-free workplace  drugs  safe working environment  drug use abusable drug(s) nondrug Licit misuse non-drug illicitstreet alcohol sedativeanxiolytic misuseabuse sedativeanxiolytic misuseabuse non-prescribed alcohol mood-altering nonprescribed illicit unprescribed psychotropics psychotropic
2005_AO006,Cervical cancer  cancer  killer disease  women cancers breast cancer CRC cancer prostate cancer colorectal cancer
2017_AO0008,benefits  senior citizen ID card  senior citizen
1973_AO188A,cancer control center  national cancer control center  cancer  cancer control service  cancer prevention  detection  diagnosis  pre-treatment evaluation  treatment  rehabilitation  continuing care  cancer detection  pap smears  cervical cancer  cigarette smoking  local cigarettes  nationwide cancer education  diagnosis  cancer epidemiology  improve care  treatment of cancer patients  modern cancer centers  cancer experts  chemotherapeutic agents early-detection chemo-revention cancer screening prevention control program prevention
2010_AO022,Psychological  psychiatric disorders  psychological examinations  overseas workers psychologic psychosocial psychosomatic psychiatrical mental psycho-social psychiatricpsychological illness-related psychopathological psychiatricpsychological psychological psychopathology heteroaggressivity psychologicalpsychiatric psycho-emotional
2014_AO0009,"chronic conditions, elderly, vulnerable populations, irrational use of medicines, use of medicines"
2011_AO0013,"essential medicines, ncds, marginalized sectors, hypertension, diabetes, asthma, COPD"
2003_AO122,smoking  smoking cessation  National Tobacco Control  Healthy Lifestyle Program  cvd  cancer  diabetes  diabetes mellitus  acquired lung diseases  lung cancer  cardiovascular diseases  death rate  smokers  smoking-related  deaths  cause of death  stop smoking  pneumonia  bronchitis  asthma  Cardiovascular Disease Program  smoke-free  tobacco control  current smoker  successful quitting  smoker  smoking cessation clinic  health risks  quitting the habit  Framework Convention on Tobacco Control  lung  smoke-free environment  health education  chronic diseases disease tobacco-related smoking cessationreduction tobacco-caused tobacco-smoking cigarette asthma  current smoker  respiratory prevention control prevention smoking cessationreduction filternonsfilter smoking argileh asthmahayfever
2009_AO010,death  killing  lung cancer  heart disease  adult male smokers  world lung foundation  smokers  tobacco users  tobacco-related disease  smoke  tobacco smoke  environmental tobacco smoke  second-hand tobacco smoke  SHS  ETS  perception of smoking  reduction of smoking  FCTC  WHO FCTC  WHO Framework Convention  smoke-free environment  ventilation  airflitration  designated smoking areas  exposure to tobacco smoke  passive smoking  involuntary exposure to tobacco smoke  denormalisationvoluntary exposure  framework convention on tobacco  tobacco products  graphic health warnings  intergrate tobacco prevention  national center for disease prevention and control  cessation  anti-smoking initiatives  national epidemiology center  tobacco industry monitoring  global youth tobacco survey  tobacco promotions  tobacco companies  adult smokers  100% smoke-free environment cessationreduction non-cigarette cigarette anti-secondhand mentholation Water-pipe thirdhand consumption  denormalisation
2016_AO0034,"elderly, great burden, essential medicines"
1998_AO019,Cervical cancer  cancer  women  breast cancer  most common cancer  pre-cancerous cancerns CRC cancer colorectal prostate cancer
2016_AO0039,non-communicable diseases  mental health  wll-being  substance abuse  treatment of mental disorders  DALys  YLL  alzheimer's disease  dementia  alcohol  illicit drug use  drug use disorders  mental health proram  national mental health program  mental disorders  neurological disorders  developmental disorders  central nervous sytems  peripheral nervous systems  psychoactive substances  illicit drugs  adulthood  neurologic disorders psychiatricpsychological symptoms  depression  comorbidities. anxiety  disorders non-substance-related problems
2016_AO0024,senior citizens discount  OSCA  office for senior citizens affairs  senior citizens  cheaper and quality medicines act of 2008 cbovs
2000_AO121,diabetes  national diabetes commission  national diabetes act of 1996  diabetes educator  diabetes mellitus T2DM prediabetes (T2DM). T1DM pre-diabetes DMT2 hyperlipidemia dyslipidemia t2DM mellitus
2007_AO009,tobacco  cause of death  death  smokes  smoking  cigarettes  adult male smokers  tobacco epidemic  tobacco products  smoker  Framework Convention on Tobacco Control  tobacco-related disease  tobacco use cigarette non-cigarette filternonfilter drug metholation filternonfilter hookah argileh narghile waterpipe water-pipe
2005_AO011,hypertension  disease of the heart  chronic  diabetes mellitus  morbidity  senior citizens  senior citizen's act  senior citizen's group  chronic medications  lifetime medications  diseases of the heart and the vascular system  pneumonias  chronic obstructive pulmonary diseases  20% discount  metformin  metropolol  glibenclamide  captopril  salbutamol  pneumonia  prevention control  prevention
2011_AO0004,cancer cases  cancer sites  lung  breast  cervix  cancer pain  palliative care  cancer pain management  philippine cancer pain control program  prevention control
1993_AO015,smoking  health care facilities  addicting  toxic  lung cancer  smoke-free environment  smoke free zones  smoking is dangerous to health  sale of cigarettes  cigars  tobacco products cessationreduction health-risks workplace denormalisation carcinogenic health-damaging
1997_AO009B,National Treatment and Rehabilitation Program  rehabiliation  rehabilitate  preventive  therapeutic preventive rehabilitative avoidable blindness  eye health  refractive error  national prevention  behavior change  pap smear  progression  blindness program TB-IPC
2001_AO008,mental health  mental disorders  neurological disorders  abuse of alcohol and drugs  mental illness  psychiatric facility  psychiatric facilities  suicide  substance abuse  morbidity  mortality  disability  complications from mental disorder  healthy  lifestyle  less stressful life  good health  good state of mental health  better quality of life  quality of life  mental health care  mental health initiatives drug medicine psychosocial psychological psycho-social care-related psychological problems psychologicalmental affectmood health non-mental illness-related mental-health psychological health- disability-related psychologicalmental psychologic psychiatricpsychological affectmood
2010_AO013,"graphic health information, tobacco product/s, tobacco product packages, tobacco consumption, exposure to tobacco, mortality, carcinogens, including carbon monoxide, arsenic, benzene, butane, formaldehyde, lead, toluene, and nicotine, tobacco epidemic, Framework Convention on Tobacco Control (FCTC)"
2000_AO04A,"care of elderly, DOH botica"
2008_AO013,"senior citizens, 20% discount"
1993_AO008,"smoking, tobacco uses, DOH compound, smoke-free zone, cigarettes, cigars, smoking policy"
2017_AO0003,"senior citizens, philippine health agenda, medical assistance program, financial risk protection"
2000_AO082,"RA 7432, senior citizens act, medicines, sale of generic drugs, generic alternatives, discounted price"
2015_AO052,"non-communicable diseases, cancer, Programme of Action for Cancer Therapy, pallative, hospice"
2013_AO0010,"elderly, diabetes, blindness, eye diseases, National Center for Disease Prevention and Control, NCDPC"
